Wall time,Step,Value
1611167640.9827495,12011,0.455322802066803
1611167716.7892585,12139,0.5017060041427612
1611167732.2435246,12165,0.4891734719276428
1611167744.1566525,12185,0.40589040517807007
1611167807.101372,12291,0.602849543094635
1611167875.1687193,12406,0.4206858277320862
1611167906.474776,12459,0.5631041526794434
1611168032.276653,12672,0.6158241033554077
1611168154.156087,12878,0.5657089948654175
1611168190.7894456,12940,0.46521833539009094
1611168236.877018,13018,0.5412838459014893
1611168246.9137843,13035,0.5163633227348328
1611168262.8587985,13062,0.45121222734451294
1611168275.2579002,13083,0.5444942116737366
1611168282.341419,13095,0.49072378873825073
1611168291.2045794,13110,0.470079630613327
1611168367.956077,13240,0.4450283646583557
1611168464.3247318,13403,0.5337454080581665
1611168466.7086475,13407,0.4437095522880554
1611168524.8705506,13505,0.5803472995758057
1611168549.7837183,13547,0.402459055185318
1611168580.0023267,13598,0.4863343834877014
1611168593.6276753,13621,0.4058017134666443
1611168628.5869246,13680,0.4107006788253784
1611168705.694512,13811,0.46183162927627563
1611168749.5075173,13885,0.5551151037216187
1611168865.644132,14081,0.5075147151947021
1611168948.9276383,14222,0.5322710275650024
1611168988.065616,14288,0.47742241621017456
1611168992.2039201,14295,0.4821179509162903
1611169007.5997853,14321,0.48206591606140137
1611169018.237862,14339,0.4719032347202301
1611169053.1917777,14398,0.5720956921577454
1611169082.832818,14448,0.46101295948028564
1611169191.56092,14633,0.4483878016471863
1611169195.1158292,14639,0.5666965246200562
1611169212.8806615,14669,0.4500189423561096
1611169218.2051535,14678,0.5857466459274292
1611169224.1242228,14688,0.5066731572151184
1611169278.4997249,14780,0.4565565586090088
1611169283.857873,14789,0.5719201564788818
1611169296.2716029,14810,0.5301081538200378
1611169334.0876713,14874,0.6226627826690674
1611169345.3066711,14893,0.5245731472969055
1611169462.2470496,15091,0.35106217861175537
1611169515.237175,15181,0.6155904531478882
1611169566.0488544,15267,0.5129390954971313
1611169600.436623,15325,0.4394490718841553
1611169688.7112908,15474,0.44568416476249695
1611169689.8936796,15476,0.44072750210762024
1611169708.810997,15508,0.4855123460292816
